1461238143.459;0.15;0.15
1461238143.502;0.15;0.15
1461238143.524;0.15;0.15
1461238143.558;0.15;0.15
1461238143.59;0.15;0.15
1461238143.62;0.15;0.15
1461238143.657;0.15;0.15
1461238143.684;0.15;0.15
1461238143.72;0.15;0.15
1461238143.751;0.15;0.15
1461238143.781;0.15;0.15
1461238143.814;0.15;0.15
1461238143.86;0.15;0.15
1461238143.893;0.15;0.15
1461238143.926;0.15;0.15
1461238143.959;0.15;0.15
1461238143.988;0.15;0.15
1461238144.02;0.15;0.15
1461238144.054;0.15;0.15
1461238144.084;0.15;0.15
1461238144.123;0.15;0.15
1461238144.152;0.15;0.15
1461238144.184;0.15;0.15
1461238144.215;0.15;0.15
1461238144.261;0.15;0.15
1461238144.293;0.15;0.15
1461238144.325;0.15;0.15
1461238144.357;0.15;0.15
1461238144.389;0.15;0.15
1461238144.419;0.15;0.15
1461238144.452;0.15;0.15
1461238144.483;0.15;0.15
1461238144.515;0.15;0.15
1461238144.547;0.15;0.15
1461238144.58;0.15;0.15
1461238144.614;0.15;0.15
1461238144.644;0.15;0.15
1461238144.693;0.15;0.15
1461238144.724;0.15;0.15
1461238144.757;0.15;0.15
1461238144.788;0.15;0.15
1461238144.821;0.15;0.15
1461238144.853;0.15;0.15
1461238144.884;0.15;0.15
1461238144.918;0.15;0.15
1461238144.947;0.15;0.15
1461238144.979;0.15;0.15
1461238145.012;0.15;0.15
1461238145.043;0.15;0.15
1461238145.093;0.15;0.15
1461238145.124;0.15;0.15
1461238145.156;0.15;0.15
1461238145.188;0.15;0.15
1461238145.22;0.15;0.15
1461238145.253;0.15;0.15
1461238145.287;0.15;0.15
1461238145.317;0.15;0.15
1461238145.347;0.15;0.15
1461238145.383;0.15;0.15
1461238145.413;0.15;0.15
1461238145.446;0.15;0.15
1461238145.492;0.15;0.15
1461238145.527;0.15;0.15
1461238145.556;0.15;0.15
1461238145.588;0.15;0.15
1461238145.621;0.15;0.15
1461238145.652;0.15;0.15
1461238145.684;0.15;0.15
1461238145.717;0.15;0.15
1461238145.747;0.15;0.15
1461238145.781;0.15;0.15
1461238145.812;0.15;0.15
1461238145.844;0.15;0.15
1461238145.893;0.15;0.15
1461238145.925;0.15;0.15
1461238145.957;0.15;0.15
1461238145.987;0.15;0.15
1461238146.023;0.15;0.15
1461238146.052;0.15;0.15
1461238146.085;0.15;0.15
1461238146.117;0.15;0.15
1461238146.147;0.15;0.15
1461238146.18;0.15;0.15
1461238146.212;0.15;0.15
1461238146.245;0.15;0.15
1461238146.292;0.15;0.15
1461238146.324;0.15;0.15
1461238146.358;0.15;0.15
1461238146.387;0.15;0.15
1461238146.42;0.15;0.15
1461238146.451;0.15;0.15
1461238146.483;0.15;0.15
1461238146.516;0.15;0.15
1461238146.547;0.15;0.15
1461238146.579;0.15;0.15
1461238146.611;0.15;0.15
1461238146.646;0.15;0.15
1461238146.694;0.15;0.15
1461238146.725;0.15;0.15
1461238146.757;0.15;0.15
1461238146.789;0.15;0.15
1461238146.82;0.15;0.15
1461238146.851;0.15;0.15
1461238146.886;0.15;0.15
1461238146.915;0.15;0.15
1461238146.947;0.15;0.15
1461238146.98;0.15;0.15
1461238147.011;0.15;0.15
1461238147.044;0.15;0.15
1461238147.091;0.15;0.15
1461238147.125;0.15;0.15
1461238147.155;0.15;0.15
1461238147.189;0.15;0.15
1461238147.219;0.15;0.15
1461238147.251;0.15;0.15
1461238147.283;0.15;0.15
1461238147.316;0.15;0.15
1461238147.349;0.15;0.15
1461238147.379;0.15;0.15
1461238147.411;0.15;0.15
1461238147.445;0.15;0.15
1461238147.491;0.15;0.15
1461238147.523;0.15;0.15
1461238147.555;0.15;0.15
1461238147.589;0.15;0.15
1461238147.62;0.15;0.15
1461238147.651;0.15;0.15
1461238147.685;0.15;0.15
1461238147.716;0.15;0.15
1461238147.748;0.15;0.15
1461238147.78;0.15;0.15
1461238147.812;0.15;0.15
1461238147.846;0.15;0.15
1461238147.891;0.15;0.15
1461238147.925;0.15;0.15
1461238147.955;0.15;0.15
1461238147.989;0.15;0.15
